PRODUCT ID;PRODUCT;CATEGORY;UOM;BUYING PRIZE;SELLING PRICE
P0001;Product01;Category01;Kg;98;103,88
P0002;Product02;Category01;Kg;105;142,8
P0003;Product03;Category01;Kg;71;80,94
P0004;Product04;Category01;Lt;44;48,84
P0005;Product05;Category01;Ft;133;155,61
P0006;Product06;Category01;Kg;75;85,5
P0007;Product07;Category01;Lt;43;47,73
P0008;Product08;Category01;Kg;83;94,62
P0009;Product09;Category01;No.;6;7,86
P0010;Product10;Category02;Ft;148;164,28
P0011;Product11;Category02;Lt;44;48,4
P0012;Product12;Category02;Kg;73;94,17
P0013;Product13;Category02;Kg;112;122,08
P0014;Product14;Category02;Kg;112;146,72
P0015;Product15;Category02;No.;12;15,72
P0016;Product16;Category02;No.;13;16,64
P0017;Product17;Category02;Ft;134;156,78
P0018;Product18;Category02;No.;37;49,21
P0019;Product19;Category02;Ft;150;210
P0020;Product20;Category03;Lt;61;76,25
P0021;Product21;Category03;Ft;126;162,54
P0022;Product22;Category03;Ft;121;141,57
P0023;Product23;Category03;Ft;141;149,46
P0024;Product24;Category03;Ft;144;156,96
P0025;Product25;Category03;No.;7;8,33
P0026;Product26;Category04;No.;18;24,66
P0027;Product27;Category04;Lt;48;57,12
P0028;Product28;Category04;No.;37;41,81
P0029;Product29;Category04;Lt;47;53,11
P0030;Product30;Category04;Ft;148;201,28
P0031;Product31;Category04;Kg;93;104,16
P0032;Product32;Category04;Kg;89;117,48
P0033;Product33;Category04;Kg;95;119,7
P0034;Product34;Category04;Lt;55;58,3
P0035;Product35;Category04;No.;5;6,7
P0036;Product36;Category04;Kg;90;96,3
P0037;Product37;Category05;Kg;67;85,76
P0038;Product38;Category05;Kg;72;79,92
P0039;Product39;Category05;No.;37;42,55
P0040;Product40;Category05;Kg;90;115,2
P0041;Product41;Category05;Ft;138;173,88
P0042;Product42;Category05;Ft;120;162
P0043;Product43;Category05;Kg;67;83,08
P0044;Product44;Category05;Kg;76;82,08
P0045;Product45;Category05;Kg;50;62
